date,portfolio_value
2025-07-14,12452.572668294568
2025-07-15,12433.630290414383
2025-07-16,12444.78589876783
2025-07-17,12545.489349403655
2025-07-18,12812.872601658417
2025-07-21,12488.55636081581
2025-07-22,12643.56194090751
2025-07-23,12601.399713218585
2025-07-24,12766.406401563336
2025-07-25,12828.120569559987
2025-07-28,12780.641530328927
2025-07-29,12714.505139920091
2025-07-30,12842.155075162229
2025-07-31,12838.728395004617
2025-08-01,12575.13595744828
2025-08-04,12673.801939664738
2025-08-05,12657.420266741132
2025-08-06,12522.23801897286
2025-08-07,12834.014867921365
2025-08-08,12651.395251261014
2025-08-11,12528.544688145299
2025-08-12,12679.32049267854
2025-08-13,12580.2067579901
2025-08-14,12367.488399470945
2025-08-15,12744.651387779886
2025-08-18,12819.368932367895
2025-08-19,12682.514187240522
2025-08-20,12717.960031635592
2025-08-21,12585.769886549368
2025-08-22,12895.40667078472
2025-08-25,12868.808543243951
2025-08-26,12991.660702536316
2025-08-27,12849.567303469294
2025-08-28,13024.349773518747
2025-08-29,12789.279939936967
2025-09-02,12815.843102506862
2025-09-03,12891.34394080655
2025-09-04,12779.153354879003
2025-09-05,12882.830344259293
2025-09-08,12736.783097173238
2025-09-09,12778.670168832241
2025-09-10,12994.639971903096
2025-09-11,13062.60254646137
2025-09-12,13177.129207903125
2025-09-15,13465.1992111406
2025-09-16,13309.441906609005
2025-09-17,13249.683996904754
2025-09-18,13434.038480383775
2025-09-19,13961.33233978852
2025-09-22,14267.128088269772
2025-09-23,14008.331359353866
2025-09-24,14027.318994013764
2025-09-25,13880.563759009628
2025-09-26,13932.417821866698
2025-09-29,13969.458981000578
2025-09-30,13857.641486028126
2025-10-01,14225.865246136675
2025-10-02,14465.59762773503
2025-10-03,14481.705183106566
2025-10-06,14751.783884933207
2025-10-07,14630.887655114475
2025-10-08,14750.04914850563
2025-10-09,14873.447800428039
2025-10-10,14525.305714170318
2025-10-13,15140.957324743275
2025-10-14,15210.651107774363
2025-10-15,15691.992390626283
2025-10-16,15272.943473885294
2025-10-17,15051.66964508219
2025-10-20,15126.40739571839
2025-10-21,14736.963158960782
2025-10-22,14256.175099186648
2025-10-23,14516.031864865874
2025-10-24,14891.143946314716
2025-10-27,14976.481770551896
2025-10-28,14765.809735100813
2025-10-29,14889.81499517198
2025-10-30,14624.361181669685
2025-10-31,14841.040867173639
2025-11-03,14776.270548956403
2025-11-04,14333.02052058968
2025-11-05,14764.061383534168
2025-11-06,14337.460258476925
2025-11-07,14276.488432033111
2025-11-10,14421.820123176123
2025-11-11,14271.946282820836
2025-11-12,14300.403999387496
2025-11-13,13767.47957834873
2025-11-14,13678.773822400566
2025-11-17,13558.322343960392
2025-11-18,13636.994491775817
2025-11-19,13712.076937439515
2025-11-20,13142.578504254225
2025-11-21,13168.113286135003
2025-11-24,13425.240248074844
2025-11-25,13374.088220270381
2025-11-26,13676.022685648253
2025-11-28,13969.04899456357
2025-12-01,13526.952276844742
2025-12-02,13530.909997167795
